Owl57,57,6.7
Owl79,79,8.9
Owl8,8,1.8
Owl62,62,7.2
Owl66,66,7.6
Owl77,77,8.7
Owl22,22,3.2
Owl25,25,3.5
Owl89,89,9.9
Owl65,65,7.5
Owl58,58,6.8
Owl36,36,4.6
Owl32,32,4.2
Owl15,15,2.5
Owl43,43,5.3
Owl68,68,7.8
Owl44,44,5.4
Owl23,23,3.3
Owl34,34,4.4
Owl54,54,6.4
Owl46,46,5.6
Owl21,21,3.1
Owl19,19,2.9
Owl42,42,5.2
Owl18,18,2.8
Owl16,16,2.6
Owl88,88,9.8
Owl48,48,5.8
Owl53,53,6.3
Owl24,24,3.4
Owl86,86,9.6
Owl56,56,6.6
Owl82,82,9.2
Owl26,26,3.6
Owl17,17,2.7
Owl78,78,8.8
Owl29,29,3.9
Owl12,12,2.2
Owl69,69,7.9
Owl67,67,7.7
﻿Owl1,1,1.1
Owl84,84,9.4
Owl14,14,2.4
Owl5,5,1.5
Owl55,55,6.5
Owl63,63,7.3
Owl76,76,8.6
Owl11,11,2.1
Owl4,4,1.4
Owl51,51,6.1
Owl13,13,2.3
Owl71,71,8.1
Owl64,64,7.4
Owl52,52,6.2
Owl27,27,3.7
Owl7,7,1.7
Owl31,31,4.1
Owl45,45,5.5
Owl6,6,1.6
Owl41,41,5.1
Owl80,80,9.0
Owl20,20,3.0
Owl28,28,3.8
Owl37,37,4.7
Owl81,81,9.1
Owl87,87,9.7
Owl85,85,9.5
Owl60,60,7.0
Owl74,74,8.4
Owl72,72,8.2
Owl73,73,8.3
Owl50,50,6.0
Owl75,75,8.5
Owl30,30,4.0
Owl40,40,5.0
Owl70,70,8.0
Owl59,59,6.9
Owl3,3,1.3
Owl2,2,1.2
Owl33,33,4.3
Owl47,47,5.7
Owl38,38,4.8
Owl83,83,9.3
Owl49,49,5.9
Owl35,35,4.5
Owl10,10,2.0
Owl9,9,1.9
Owl61,61,7.1
Owl39,39,4.9
Vanessa,29,46.36
Who,7,63.54
Goldy,41,94.04
Phoebe,25,58.99
Dan,44,26.14
Dasher,30,41.42
Rachel,10,18.84
Nate,49,87.94
Rufus,48,9.47
Aragog,17,50.96
Nagini,15,23.12
Ross,45,49.49
Donner,12,3.05
Rudolph,38,79.71
Dancer,11,93.88
Crookshanks,8,14.74
Lily ,22,39.47
Jenny,45,30.38
Comet,32,23.15
Chandler,4,4.09
Pidwidgeon,8,24.43
Buckbeak,7,96.87
Owl,38,7.31
Joey,50,26.14
Chuck,7,62.43
Vixen,45,70.22
Cupid,12,12.15
Scabbers,29,52.93
﻿Errol,16,26.1
Turtle,26,28.78
Norbert,21,36.37
Prancer,46,22.14
Archimedes,46,40.74
Blitzen,12,73.53
Mrs. Norris,37,43.7
Hermes,12,20.29
Fawkes,37,61.28
Monica,4,45.33
Arnold,49,87.15
Hedwig,3,69.07
Blair,34,43.81
Serena,39,49.49
Fluffy,8,93.11
